pl_name,pl_bmasse,pl_rade,pl_dens,pl_radeerr1,pl_radeerr2,pl_bmasseerr1,pl_bmasseerr2,discoverymethod,disc_facility,pl_controv_flag,sy_dist
"Kepler-197 d",1.98000,1.220,5.990000,0.100,-0.100,,,"Transit","Kepler",0,330.5750000
"HD 45364 c",209.09150,14.100,0.410000,,,,,"Radial Velocity","La Silla Observatory",0,34.3540000
"HD 4732 c",753.23000,13.300,1.760000,,,120.77000,-120.77000,"Radial Velocity","Multiple Observatories",0,54.7841000
"HD 21411 b",65.90000,9.520,0.420000,,,25.60000,-25.60000,"Radial Velocity","Las Campanas Observatory",0,29.1328000
"HD 73526 b",978.91640,13.100,2.390000,,,98.52730,-98.52730,"Radial Velocity","Anglo-Australian Telescope",0,97.2396000
"HD 73534 b",353.42696,13.700,0.755000,,,18.75197,-18.75197,"Radial Velocity","W. M. Keck Observatory",0,83.3321000
"HD 81040 b",2310.62410,12.600,6.350000,,,311.47340,-311.47340,"Radial Velocity","Multiple Observatories",0,34.4341000
"HD 64114 b",17.80000,4.410,1.140000,,,3.50000,-3.50000,"Radial Velocity","Las Campanas Observatory",0,31.5262000
"HD 219134 f",7.30000,1.310,,0.020,-0.020,0.40000,-0.40000,"Radial Velocity","Multiple Observatories",1,6.5312700
"HD 220842 b",1010.69940,13.100,2.470000,,,47.67450,-47.67450,"Radial Velocity","Haute-Provence Observatory",0,64.6498000
"HD 221416 b",60.50000,9.170,0.431000,0.340,-0.310,5.70000,-5.70000,"Transit","Transiting Exoplanet Survey Satellite (TESS)",0,95.5483000
"HD 221585 b",511.70630,13.500,1.140000,,,44.49620,-44.49620,"Radial Velocity","Haute-Provence Observatory",0,55.8535000
"HD 23596 b",2870.00490,12.500,8.070000,,,235.19420,-235.19420,"Radial Velocity","Haute-Provence Observatory",0,52.0018000
"HD 238914 b",1906.98000,12.800,5.000000,,,858.14100,-858.14100,"Radial Velocity","Multiple Observatories",0,519.4520000
"HD 76920 b",1249.07190,13.000,3.120000,,,44.49620,-47.67450,"Radial Velocity","Multiple Observatories",0,184.0310000
"HD 20781 b",1.93000,1.210,5.990000,,,0.39000,-0.36000,"Radial Velocity","La Silla Observatory",0,35.9715000
"HD 67087 c",1540.00000,12.900,3.940000,,,3180.00000,-1150.00000,"Radial Velocity","Multiple Observatories",0,76.5217000
"HD 65216 c",645.19490,13.400,1.470000,,,34.96130,-34.96130,"Radial Velocity","La Silla Observatory",0,35.1205000
"HD 290327 b",772.32690,13.300,1.800000,,,133.48860,-133.48860,"Radial Velocity","La Silla Observatory",0,56.4330000
"HD 30562 b",387.75260,13.700,0.829000,,,44.49620,-44.49620,"Radial Velocity","Lick Observatory",0,26.1597000
"HD 4313 b",612.45841,13.400,1.400000,,,28.60470,-28.60470,"Radial Velocity","W. M. Keck Observatory",0,136.3080000
"HD 330075 b",152.55840,14.300,0.287000,,,6.35660,-6.35660,"Radial Velocity","La Silla Observatory",0,45.2989000
"HD 31253 b",197.05460,14.100,0.386000,,,38.13960,-38.13960,"Radial Velocity","W. M. Keck Observatory",0,58.1438000
"HD 31527 b",10.47000,3.220,1.720000,,,0.89000,-0.87000,"Radial Velocity","La Silla Observatory",0,38.4473000
"GJ 1132 c",2.64000,1.430,4.960000,,,0.44000,-0.44000,"Radial Velocity","La Silla Observatory",0,12.6130000
"HD 45364 b",59.49530,8.970,0.453000,,,,,"Radial Velocity","La Silla Observatory",0,34.3540000
"K2-219 b",2.38000,1.348,5.340000,0.202,-0.181,,,"Transit","K2",0,325.4000000
"HD 40307 b",4.00000,1.830,3.590000,,,0.80000,-0.70000,"Radial Velocity","La Silla Observatory",0,12.9363000
